model,eng_cap,prod_year,power,fuel_type,car_body,mileage,color,condition,transmission,origin,price
Golf,1 390 cm³,1998,75 KM,Benzyna,Hatchback,196 427 km,Czerwony,Nieuszkodzony,Manualna,Polska,3 900 złdo negocjacji
Golf,999 cm3,2019,115 KM,Benzyna,Kompakt,49 500 km,Biały,Używane,Manualna,Unknown,57 000PLN
Golf,1 998 cm³,2008,170 KM,Diesel,Hatchback,236 200 km,Niebieski,Nieuszkodzony,Manualna,Niemcy,16 000 zł
Golf,1 968 cm3,2015,184 KM,Diesel,Kompakt,221 000 km,Czarny,Używane,Automatyczna,Polska,67 900PLN
Golf,1 598 cm3,2013,105 KM,Diesel,Kombi,299 000 km,Szary,Używane,Manualna,Polska,21 500PLN
Golf,1 896 cm3,2007,105 KM,Diesel,Kombi,190 000 km,Granatowy,Używane,Manualna,Unknown,14 900PLN
Golf,1 595 cm3,2006,102 KM,Benzyna+LPG,Auta miejskie,203 000 km,Czarny,Używane,Manualna,Unknown,18 999PLN
Golf,1 598 cm³,1998,100 KM,LPG,Hatchback,340 645 km,Niebieski,Nieuszkodzony,Manualna,Unknown,4 200 złdo negocjacji
Golf,1 968 cm3,2009,110 KM,Diesel,Kompakt,207 150 km,Srebrny,Używane,Manualna,Unknown,22 800PLN
Golf,1 400 cm³,2010,80 KM,Benzyna,Hatchback,197 000 km,Niebieski,Nieuszkodzony,Manualna,Niemcy,17 000 złdo negocjacji
Golf,1 900 cm³,2000,66 KM,Diesel,Kabriolet,108 728 km,Zielony,Nieuszkodzony,Manualna,Polska,13 500 złdo negocjacji
Golf,1 598 cm³,2014,Unknown,Diesel,Hatchback,189 500 km,Czarny,Nieuszkodzony,Manualna,Unknown,36 500 zł
model,eng_cap,prod_year,power,fuel_type,car_body,mileage,color,condition,transmission,origin,price
Golf,16 cm³,2018,115 KM,Diesel,Kombi,115 km,Czarny,Nieuszkodzony,Automatyczna,Polska,58 999 złdo negocjacji
Golf,1 600 cm³,2012,110 KM,Diesel,Hatchback,198 000 km,Zielony,Nieuszkodzony,Manualna,Unknown,26 500 zł
Golf,1 900 cm³,2007,105 KM,Diesel,Hatchback,261 000 km,Inny kolor,Nieuszkodzony,Manualna,Unknown,8 800 zł
Golf,1 598 cm3,2015,105 KM,Diesel,Kombi,215 000 km,Czarny,Używane,Manualna,Polska,37 500PLN
Golf,999 cm³,2019,116 KM,Benzyna,Hatchback,105 000 km,Szary,Nieuszkodzony,Automatyczna,Francja,56 900 złdo negocjacji
Golf,1 896 cm³,1999,110 KM,Diesel,Kombi,462 000 km,Niebieski,Nieuszkodzony,Manualna,Niemcy,3 700 złdo negocjacji
Golf,1 896 cm3,2005,105 KM,Diesel,Auta małe,325 000 km,Czarny,Używane,Manualna,Unknown,8 800PLN
Golf,1 598 cm3,2013,105 KM,Diesel,Kompakt,287 000 km,Czarny,Używane,Manualna,Unknown,28 900PLN
Golf,1 390 cm3,2008,80 KM,Benzyna,Kompakt,271 000 km,Czarny,Używane,Manualna,Niemcy,16 900PLN
Golf,1 598 cm³,2014,105 KM,Diesel,Coupe,352 000 km,Biały,Nieuszkodzony,Manualna,Niemcy,32 000 złdo negocjacji
Golf,1 896 cm3,1998,90 KM,Diesel,Auta małe,297 000 km,Srebrny,Używane,Manualna,Unknown,4 800PLN
Golf,1 598 cm3,2014,105 KM,Diesel,Kompakt,185 000 km,Czarny,Używane,Manualna,Niemcy,38 900PLN
Golf,1 390 cm3,2010,122 KM,Benzyna,Kompakt,171 000 km,Inny kolor,Używane,Manualna,Unknown,30 999PLN
Golf,1 598 cm3,2011,105 KM,Diesel,Kompakt,243 000 km,Czarny,Używane,Manualna,Unknown,16 999PLN
Golf,1 598 cm3,2014,110 KM,Diesel,Minivan,205 500 km,Srebrny,Używane,Manualna,Niemcy,23 900PLN
Golf,1 595 cm3,2006,102 KM,Benzyna,Kompakt,268 152 km,Inny kolor,Używane,Manualna,Niemcy,16 500PLN
Golf,1 390 cm3,2009,80 KM,Benzyna,Auta miejskie,138 000 km,Granatowy,Używane,Manualna,Niemcy,22 900PLN
Golf,1 595 cm3,2005,102 KM,Benzyna,Kombi,258 646 km,Szary,Używane,Manualna,Unknown,12 900PLN
Golf,1 968 cm3,2012,140 KM,Diesel,Kabriolet,121 703 km,Bordowy,Używane,Automatyczna,Niemcy,39 900PLN
